# Atom Type to Chemical Element Conversion Table
#
# This table maps atom types to their corresponding chemical elements.
# For consistency and clarity, maintain a fixed length of 15 characters
# for both the atom type and the chemical element fields.
#
# This table is an extended version of the TABLE_ATOMELEMENTS list in the MDAnalysis
# package.
             AR             AR
             BR             BR
             Br             BR
              C              C
             C*              C
             C0             CA
             CA              C
           CA2+           CA2+
             CB              C
             CC              C
           CCHL              C
         CG2R51              C
         CG2R53              C
         CG2R61              C
          CG311              C
          CG321              C
          CG324              C
          CG331              C
          CG334              C
         CG3C51              C
         CG3C52              C
         CG3RC1              C
            CH0              C
            CH1            CH1
            CH2            CH2
           CH2r            CH2
            CH3            CH3
            CH4            CH4
             CK              C
             CL             CL
            CL-           CL1-
            CLA              C
             CM              C
           CMET            CH3
             CN              C
             CQ              C
             CR              C
            CR1            CH1
             CT              C
             CU             CU
           CU1+           CU1+
           CU2+           CU1+
             CV              C
             CW              C
             Cl           CL1-
             Cs             CS
            DUM            DUM
              F             FE
             FE             FE
              H              H
             H1              H
             H2              H
             H3              H
             H4              H
             H5              H
             HA              H
             HC              H
           HGA1              H
           HGA2              H
           HGA3              H
           HGP1              H
          HGR52              H
          HGR53              H
          HGR61              H
             HO              H
             HP              H
             HS              H
             HT              H
             HW              H
         HW_spc              H
       HW_tip4p              H
     HW_tip4pew              H
       HW_tip5p              H
              I              I
             IB           NA1+
              K              K
             Li             Li
           MCH3            DUM
             MG             MG
           MG2+           MG2+
           MNH3            DUM
             MW            DUM
              N              N
             N*              N
             N2              N
             N3              N
             NA              N
            NA+           NA1+
             NB              N
             NC              N
             NE            NH1
         NG2R52              N
             NL            NH3
             NR              N
             NT            NH2
             NZ            NH2
             Na           NA1+
              O              O
             O2              O
             OA              O
             OE              O
          OG311              O
             OH              O
             OM              O
           OMET              O
             OS              O
             OT              O
             OW              O
         OW_spc              O
       OW_tip4p              O
   OW_tip4p2005              O
     OW_tip4pew              O
       OW_tip5p              O
              P              P
             Rb             RB
              S              S
             SH             SI
             VW            DUM
           ZN2+           ZN2+
             Zn           ZN2+
